year,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
2006,1.0,0.7167190248425092,0.6525866466581423,0.7079887974541168,0.677270128076861,0.7140924239957033,0.8325490564252659,0.7101491896982187,0.6743223890129367,0.7046666834950757,0.8013415403657987,0.809537114478809
2007,0.7167190248425092,1.0000000000000002,0.6275746958039619,0.7208297398630428,0.77692566941674,0.7974467805897564,0.7295771849425506,0.657682310819994,0.6165174970853466,0.6478156564534818,0.733903858644445,0.8048833358671934
2008,0.6525866466581423,0.6275746958039619,1.0,0.891041643371205,0.7047290799608544,0.7158372943654364,0.6699330301612706,0.7779135032855756,0.7277271914833481,0.7600386855539422,0.6683461717702303,0.6035047398345299
2009,0.7079887974541168,0.7208297398630428,0.891041643371205,1.0,0.6833779047524893,0.6964904696074048,0.8272704213495383,0.753087922430825,0.770821311854185,0.7349892569043625,0.7766639144370686,0.7138128419321765
2010,0.677270128076861,0.77692566941674,0.7047290799608544,0.6833779047524893,1.0,0.8589733786227334,0.6067598994657968,0.7180591477819341,0.6452806583477302,0.7907822812524311,0.6757445386730314,0.7156432050899713
2011,0.7140924239957033,0.7974467805897564,0.7158372943654364,0.6964904696074048,0.8589733786227334,1.0,0.6115541441027834,0.6917569431723346,0.6851109405330784,0.6680692664758566,0.7439043356566596,0.6587988203731425
2012,0.8325490564252659,0.7295771849425506,0.6699330301612706,0.8272704213495383,0.6067598994657968,0.6115541441027834,1.0000000000000002,0.7699954378019948,0.7512034788033107,0.6509594481768513,0.8487232030670996,0.7017791687918102
2013,0.7101491896982187,0.657682310819994,0.7779135032855756,0.753087922430825,0.7180591477819341,0.6917569431723346,0.7699954378019948,1.0,0.9050889666287065,0.8482725760204184,0.892438868953228,0.6387151647080234
2014,0.6743223890129367,0.6165174970853466,0.7277271914833481,0.770821311854185,0.6452806583477302,0.6851109405330784,0.7512034788033107,0.9050889666287065,0.9999999999999999,0.7612970321932744,0.8608505840564576,0.6298649044698026
2015,0.7046666834950757,0.6478156564534818,0.7600386855539422,0.7349892569043625,0.7907822812524311,0.6680692664758566,0.6509594481768513,0.8482725760204184,0.7612970321932744,0.9999999999999998,0.7909304751167976,0.5812373634489943
2016,0.8013415403657987,0.733903858644445,0.6683461717702303,0.7766639144370686,0.6757445386730314,0.7439043356566596,0.8487232030670996,0.892438868953228,0.8608505840564576,0.7909304751167976,0.9999999999999999,0.7131788413444293
2017,0.809537114478809,0.8048833358671934,0.6035047398345299,0.7138128419321765,0.7156432050899713,0.6587988203731425,0.7017791687918102,0.6387151647080234,0.6298649044698026,0.5812373634489943,0.7131788413444293,0.9999999999999997
