County,State,FIPSCounty,TotalPrescripts,year
AITKIN,MN,27001,84.5,2006
ANOKA,MN,27003,53.4,2006
BECKER,MN,27005,46.3,2006
BELTRAMI,MN,27007,61.1,2006
BENTON,MN,27009,48.3,2006
BIG STONE,MN,27011,96.1,2006
BLUE EARTH,MN,27013,67.7,2006
BROWN,MN,27015,67.3,2006
CARLTON,MN,27017,70,2006
CARVER,MN,27019,38.6,2006
CASS,MN,27021,38.7,2006
CHIPPEWA,MN,27023,18.4,2006
CHISAGO,MN,27025,30.1,2006
CLAY,MN,27027,51.3,2006
CLEARWATER,MN,27029,65.1,2006
COOK,MN,27031,74.4,2006
COTTONWOOD,MN,27033,74.5,2006
CROW WING,MN,27035,66,2006
DAKOTA,MN,27037,52,2006
DODGE,MN,27039,6.8,2006
DOUGLAS,MN,27041,78.6,2006
FARIBAULT,MN,27043,43.7,2006
FILLMORE,MN,27045,11.5,2006
FREEBORN,MN,27047,48.9,2006
GOODHUE,MN,27049,64,2006
GRANT,MN,27051,22.9,2006
HENNEPIN,MN,27053,46.8,2006
HOUSTON,MN,27055,3.8,2006
HUBBARD,MN,27057,59.9,2006
ISANTI,MN,27059,43.1,2006
ITASCA,MN,27061,72.3,2006
JACKSON,MN,27063,28.5,2006
KANABEC,MN,27065,83.2,2006
KANDIYOHI,MN,27067,61.4,2006
KITTSON,MN,27069,22.7,2006
KOOCHICHING,MN,27071,91.1,2006
LAC QUI PARLE,MN,27073,46.4,2006
LAKE,MN,27075,NA,2006
LAKE OF THE WOODS,MN,27077,NA,2006
LE SUEUR,MN,27079,21.9,2006
LINCOLN,MN,27081,23.1,2006
LYON,MN,27083,57.2,2006
MCLEOD,MN,27085,69.5,2006
MAHNOMEN,MN,27087,89.2,2006
MARSHALL,MN,27089,18.1,2006
MARTIN,MN,27091,74,2006
MEEKER,MN,27093,39.1,2006
MILLE LACS,MN,27095,69.2,2006
MORRISON,MN,27097,49.7,2006
MOWER,MN,27099,48.4,2006
MURRAY,MN,27101,32.5,2006
NICOLLET,MN,27103,22.9,2006
NOBLES,MN,27105,36.4,2006
NORMAN,MN,27107,53.3,2006
OLMSTED,MN,27109,29,2006
OTTER TAIL,MN,27111,55.1,2006
PENNINGTON,MN,27113,83.8,2006
PINE,MN,27115,25,2006
PIPESTONE,MN,27117,65.9,2006
POLK,MN,27119,39.9,2006
POPE,MN,27121,81.5,2006
RAMSEY,MN,27123,46.7,2006
RED LAKE,MN,27125,34.6,2006
REDWOOD,MN,27127,43,2006
RENVILLE,MN,27129,28.6,2006
RICE,MN,27131,47.6,2006
ROCK,MN,27133,66.9,2006
ROSEAU,MN,27135,54.1,2006
ST. LOUIS,MN,27137,82.9,2006
SCOTT,MN,27139,42.5,2006
SHERBURNE,MN,27141,37.3,2006
SIBLEY,MN,27143,15.7,2006
STEARNS,MN,27145,53.5,2006
STEELE,MN,27147,40.3,2006
STEVENS,MN,27149,66.4,2006
SWIFT,MN,27151,54,2006
TODD,MN,27153,31.3,2006
TRAVERSE,MN,27155,73.2,2006
WABASHA,MN,27157,9.7,2006
WADENA,MN,27159,127.6,2006
WASECA,MN,27161,41.2,2006
WASHINGTON,MN,27163,57,2006
WATONWAN,MN,27165,43.9,2006
WILKIN,MN,27167,83.6,2006
WINONA,MN,27169,55.3,2006
WRIGHT,MN,27171,52.2,2006
YELLOW MEDICINE,MN,27173,59.2,2006
AITKIN,MN,27001,63,2007
ANOKA,MN,27003,57.6,2007
BECKER,MN,27005,54.2,2007
BELTRAMI,MN,27007,60,2007
BENTON,MN,27009,51.6,2007
BIG STONE,MN,27011,112.5,2007
BLUE EARTH,MN,27013,71.3,2007
BROWN,MN,27015,71.7,2007
CARLTON,MN,27017,77.7,2007
CARVER,MN,27019,42.2,2007
CASS,MN,27021,41.8,2007
CHIPPEWA,MN,27023,23,2007
CHISAGO,MN,27025,32.1,2007
CLAY,MN,27027,59.6,2007
CLEARWATER,MN,27029,69.2,2007
COOK,MN,27031,45.6,2007
COTTONWOOD,MN,27033,72.5,2007
CROW WING,MN,27035,70,2007
DAKOTA,MN,27037,56.9,2007
DODGE,MN,27039,17.7,2007
DOUGLAS,MN,27041,82.2,2007
FARIBAULT,MN,27043,46.8,2007
FILLMORE,MN,27045,20,2007
FREEBORN,MN,27047,48.9,2007
GOODHUE,MN,27049,52.9,2007
GRANT,MN,27051,33.3,2007
HENNEPIN,MN,27053,50.7,2007
HOUSTON,MN,27055,2.2,2007
HUBBARD,MN,27057,57,2007
ISANTI,MN,27059,43.4,2007
ITASCA,MN,27061,77.9,2007
JACKSON,MN,27063,34.2,2007
KANABEC,MN,27065,83.8,2007
KANDIYOHI,MN,27067,64.4,2007
KITTSON,MN,27069,23.7,2007
KOOCHICHING,MN,27071,70.2,2007
LAC QUI PARLE,MN,27073,56.8,2007
LAKE,MN,27075,NA,2007
LAKE OF THE WOODS,MN,27077,60.5,2007
LE SUEUR,MN,27079,19.8,2007
LINCOLN,MN,27081,36.1,2007
LYON,MN,27083,53.8,2007
MCLEOD,MN,27085,73.2,2007
MAHNOMEN,MN,27087,93.9,2007
MARSHALL,MN,27089,21.2,2007
MARTIN,MN,27091,90.6,2007
MEEKER,MN,27093,40.6,2007
MILLE LACS,MN,27095,66.4,2007
MORRISON,MN,27097,53.2,2007
MOWER,MN,27099,48.7,2007
MURRAY,MN,27101,36.2,2007
NICOLLET,MN,27103,22.6,2007
NOBLES,MN,27105,51.3,2007
NORMAN,MN,27107,57.7,2007
OLMSTED,MN,27109,30.2,2007
OTTER TAIL,MN,27111,54.5,2007
PENNINGTON,MN,27113,125.6,2007
PINE,MN,27115,18.4,2007
PIPESTONE,MN,27117,64.2,2007
POLK,MN,27119,37.4,2007
POPE,MN,27121,55.9,2007
RAMSEY,MN,27123,50.2,2007
RED LAKE,MN,27125,33.1,2007
