County	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
AITKIN	84.5	63.0	99.9	118.2	114.0	117.8	122.9	113.0	107.2	98.7	80.6	68.0
ANOKA	53.4	57.6	61.1	66.2	67.0	68.3	65.3	62.4	61.6	57.3	52.1	44.9
BECKER	46.3	54.2	57.7	55.1	59.9	57.7	71.6	66.4	59.4	52.6	45.6	37.5
BELTRAMI	61.1	60.0	69.6	74.2	73.7	75.3	89.1	70.2	67.0	60.1	55.4	46.4
BENTON	48.3	51.6	54.1	53.0	52.6	44.7	51.1	47.5	47.4	43.0	39.3	33.1
BIG STONE	96.1	112.5	118.5	115.7	113.1	124.7	129.1	111.8	107.9	88.4	84.9	83.4
BLUE EARTH	67.7	71.3	73.3	70.4	69.1	70.6	78.9	74.8	72.7	70.7	66.0	58.5
BROWN	67.3	71.7	65.0	64.5	65.8	63.2	82.1	77.8	72.5	67.6	56.6	48.9
CARLTON	70.0	77.7	81.6	96.6	101.0	95.9	113.3	106.0	99.1	72.1	62.9	54.6
CARVER	38.6	42.2	43.7	50.2	50.5	53.2	52.1	46.7	46.8	43.7	40.2	35.6
CASS	38.7	41.8	42.1	44.8	47.4	49.1	52.1	48.1	42.2	35.9	31.2	24.7
CHIPPEWA	18.4	23.0	36.9	56.5	60.5	64.3	74.2	74.1	68.3	73.3	70.4	62.8
CHISAGO	30.1	32.1	30.2	26.8	28.4	32.5	29.5	36.5	39.9	41.1	34.6	30.9
CLAY	51.3	59.6	59.1	54.9	54.3	56.7	67.9	65.7	66.9	62.7	54.4	44.8
CLEARWATER	65.1	69.2	84.1	94.8	90.4	86.3	89.3	78.5	80.7	75.5	68.3	57.7
COTTONWOOD	74.5	72.5	70.4	65.8	67.1	72.7	82.1	85.4	63.1	51.6	73.9	77.8
CROW WING	66.0	70.0	68.8	75.8	76.9	77.5	74.4	79.1	76.8	68.2	59.7	52.1
DAKOTA	52.0	56.9	61.5	63.4	60.7	62.6	63.8	61.3	59.3	54.0	48.4	43.0
DODGE	6.8	17.7	19.7	18.0	19.7	20.7	21.9	20.4	20.2	18.2	16.9	13.8
DOUGLAS	78.6	82.2	84.1	89.1	95.1	102.4	109.3	107.6	109.1	101.6	91.0	79.9
FARIBAULT	43.7	46.8	47.3	49.6	49.3	54.9	53.3	61.3	59.0	56.9	54.7	46.7
FILLMORE	11.5	20.0	24.1	23.5	20.8	21.5	23.1	30.7	31.9	31.3	29.8	29.2
FREEBORN	48.9	48.9	48.9	47.8	40.1	40.6	40.1	41.3	45.5	41.4	35.7	35.2
GOODHUE	64.0	52.9	41.8	42.1	64.5	60.7	57.9	59.7	57.5	51.1	46.9	41.7
GRANT	22.9	33.3	52.2	67.8	57.4	54.7	52.5	52.7	44.8	45.9	47.2	33.1
HENNEPIN	46.8	50.7	54.3	55.4	55.2	55.1	54.3	49.8	47.8	43.2	38.6	33.5
HUBBARD	59.9	57.0	56.1	61.3	66.4	71.2	76.4	71.5	74.2	64.1	57.4	48.8
ISANTI	43.1	43.4	46.5	50.3	55.3	53.4	60.5	61.2	58.7	57.9	52.4	47.6
ITASCA	72.3	77.9	77.3	75.9	82.9	93.7	95.1	98.9	97.9	81.4	65.1	54.7
JACKSON	28.5	34.2	35.9	35.8	34.3	35.7	34.2	34.0	31.1	0.6	26.5	24.1
KANABEC	83.2	83.8	89.1	89.3	86.7	75.1	78.3	85.8	87.4	90.5	82.4	71.3
KANDIYOHI	61.4	64.4	58.5	62.0	66.2	69.9	75.3	71.6	68.3	66.2	64.3	58.9
KITTSON	22.7	23.7	25.2	27.7	29.5	33.1	38.5	40.1	41.7	40.4	38.7	37.6
KOOCHICHING	91.1	70.2	75.1	76.6	80.3	80.4	74.8	79.3	78.8	68.6	59.5	51.4
LAC QUI PARLE	46.4	56.8	56.7	56.3	59.2	54.0	57.6	58.3	57.0	57.0	61.0	58.4
LE SUEUR	21.9	19.8	23.5	26.0	24.8	26.1	25.2	25.8	29.2	22.2	10.9	9.4
LINCOLN	23.1	36.1	62.9	64.3	55.2	60.4	54.4	60.9	63.8	64.0	43.2	38.7
LYON	57.2	53.8	56.8	55.1	58.1	51.9	48.8	53.4	54.8	52.9	49.5	43.5
MAHNOMEN	89.2	93.9	102.2	94.3	74.1	77.9	73.0	63.3	57.3	47.9	37.7	30.6
MARSHALL	18.1	21.2	26.6	26.9	27.0	27.8	32.0	28.9	27.0	25.4	24.0	21.1
MARTIN	74.0	90.6	97.8	107.7	103.2	110.4	103.3	90.5	91.5	86.1	76.7	66.1
MCLEOD	69.5	73.2	71.6	79.1	74.7	75.8	77.9	77.2	77.0	71.5	69.0	63.1
MEEKER	39.1	40.6	44.8	46.2	47.6	50.8	49.4	41.5	39.5	37.9	30.2	26.0
MILLE LACS	69.2	66.4	70.2	75.5	78.7	84.5	93.3	94.8	89.5	84.0	74.5	62.4
MORRISON	49.7	53.2	54.0	53.6	57.7	67.7	77.2	77.4	77.8	74.7	64.8	57.0
MOWER	48.4	48.7	52.8	59.8	70.1	71.5	55.6	52.5	49.2	48.1	41.2	34.7
MURRAY	32.5	36.2	32.7	26.6	33.4	34.6	37.0	33.5	36.8	36.0	36.1	35.4
NICOLLET	22.9	22.6	20.3	25.8	29.2	30.3	28.2	26.1	28.3	25.5	20.2	19.0
NOBLES	36.4	51.3	59.2	60.4	57.9	58.3	60.3	58.3	58.4	60.8	48.5	34.5
NORMAN	53.3	57.7	65.8	64.2	68.7	59.1	49.8	62.9	41.9	38.8	26.4	21.7
OLMSTED	29.0	30.2	33.6	36.3	37.2	38.8	44.7	43.6	36.5	33.3	28.9	27.3
OTTER TAIL	55.1	54.5	53.6	55.7	58.9	61.8	62.6	63.0	66.6	60.6	56.2	48.5
PENNINGTON	83.8	125.6	148.1	181.8	185.8	129.9	91.8	90.1	95.6	87.5	74.8	68.6
PINE	25.0	18.4	18.5	38.7	43.4	42.8	60.7	63.2	61.9	62.5	63.3	53.9
PIPESTONE	65.9	64.2	63.0	65.1	69.8	70.3	81.8	82.1	80.2	91.0	74.7	73.2
POLK	39.9	37.4	41.1	56.8	59.6	59.4	62.0	79.0	78.8	71.0	64.1	55.8
POPE	81.5	55.9	55.4	58.5	55.9	59.0	64.8	66.8	68.7	70.6	68.6	59.0
RAMSEY	46.7	50.2	51.8	54.8	56.1	57.4	56.3	50.8	48.9	46.0	42.0	36.0
RED LAKE	34.6	33.1	43.8	40.0	42.9	40.2	41.1	42.2	36.8	32.5	32.0	27.5
