County,polyFitResult,a,b,c
WADENA,"(array([-2.12087912e+00,  8.53153726e+03, -8.57964034e+06]), array([620.35959019]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-2.120879120721251,8531.537262101143,-8579640.336871687
PENNINGTON,"(array([-1.71048951e+00,  6.87498881e+03, -6.90803922e+06]), array([8315.67741117]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-1.7104895106403097,6874.988811794663,-6908039.222636481
AITKIN,"(array([-1.66413586e+00,  6.69452348e+03, -6.73260137e+06]), array([879.62654379]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-1.664135863905648,6694.523475596523,-6732601.369546434
CARLTON,"(array([-1.53101898e+00,  6.15815579e+03, -6.19232096e+06]), array([496.94469545]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-1.531018980839989,6158.155793484979,-6192320.960213365
MARTIN,"(array([-1.10172328e+00,  4.43076386e+03, -4.45465881e+06]), array([208.34005729]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-1.1017232766716123,4430.763860930491,-4454658.8054092815
BIG STONE,"(array([-1.04692807e+00,  4.20956331e+03, -4.23140752e+06]), array([437.7952022]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-1.0469280718654688,4209.56331143596,-4231407.515055382
ITASCA,"(array([-1.02799700e+00,  4.13520991e+03, -4.15846957e+06]), array([603.37362407]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-1.0279970028317824,4135.209914419742,-4158469.5748300087
LINCOLN,"(array([-1.01253746e+00,  4.07431863e+03, -4.09856713e+06]), array([581.52204781]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-1.0125374624955086,4074.3186311993686,-4098567.129249853
CHIPPEWA,"(array([-9.89335664e-01,  3.98457115e+03, -4.01191326e+06]), array([141.99903854]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.9893356642152384,3984.571153361208,-4011913.2566796225
CLEARWATER,"(array([-9.18206793e-01,  3.69306166e+03, -3.71331815e+06]), array([195.26467276]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.9182067931496357,3693.06166310628,-3713318.150442176
GRANT,"(array([-9.16208791e-01,  3.68612440e+03, -3.70747933e+06]), array([530.57989746]), 3, array([1.73204911e+00, 2.42699725e-03, 1.06409183e-06]), 2.6645352591003757e-15)",-0.9162087911825442,3686.124400493371,-3707479.3340337784
